Week,Date,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
Current,2024-12-03,4.88,95.12,31.00,15.04,0.00,0.00,141
"Last Week to Current",2024-11-26,8.55,91.45,33.81,15.04,0.00,0.00,140
"3 Months Ago to Current",2024-09-03,100.00,0.00,0.00,0.00,0.00,0.00,0
"Start of Calendar Year to Current",2023-12-26,86.64,13.36,5.64,1.95,0.00,0.00,21
"Start of Water Year to Current",2024-10-01,80.73,19.27,0.00,0.00,0.00,0.00,19
"One Year Ago to Current",2023-12-05,74.28,25.72,5.64,0.98,0.00,0.00,32
