Year,San Jose Population,Water Consumption (Million gallons per day),Per Capita (Gallons per person per day)
1985,782248,150,192
1990,782248,160,204
1995,782248,155,198
2000,894943,165,184
2005,953679,170,178
2010,945942,160,169
2015,1000000,150,150
2020,1021795,145,142
2023,1021795,140,137
